process,observed_completion_events,sessions,observed_span_minutes,opportunity_score,standardization_proxy,feasibility_assumption,risk_assumption
expense_review,177,15,169.71,95.7,0.95,0.9,0.18
inventory_adjustment,31,8,133.37,54.2,0.92,0.8,0.3
attendance_review,23,6,93.09,52.1,0.92,0.88,0.2
purchase_order,26,8,128.21,51.7,0.88,0.75,0.3
onboarding_check,22,9,133.57,50.7,0.88,0.7,0.38
invoice_reconciliation,29,8,169.5,49.6,0.86,0.68,0.42
payroll_change,16,6,160.41,46.5,0.9,0.72,0.35
it_request,21,5,106.76,44.9,0.84,0.7,0.32
benefits_request,12,4,70.58,42.9,0.86,0.72,0.28
payment_processing,21,5,86.08,42.0,0.86,0.6,0.5
contract_management,28,7,155.38,41.7,0.78,0.45,0.55
